id,title,addr,addr_area,addr_sigun,cat_large,cat_middle,cat_sub,cat1,cat2,grade,review_num,ratings
127480,가거도(소흑산도),전라남도 신안군 흑산면 가거도길 38-2,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,5,0,0.0
2660376,기점·소악도,전라남도 신안군 증도면,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,1,0,0.0
128703,깃대봉,전라남도 신안군 흑산면,전라남도,신안군,자연,자연관광지,산,자연관광지|산,자연|자연관광지|산,3,0,0.0
1560396,대둔도,전라남도 신안군 흑산면 김이수길 57,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,2,0,5.0
127766,도초 시목해수욕장,전라남도 신안군 도초면 시목길 219-30,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,4,1,4.0
126969,도초도,전라남도 신안군 도초면 수항리,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,5,35,5.0
2750718,두리선착장,전라남도 신안군 안좌면 소곡두리길 311,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,1,11,0.0
2742112,둔장해변,전라남도 신안군 자은면 둔장길 47-45,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,1,4,5.0
129205,띠밭넘어해변,전라남도 신안군 도초면 우이도리,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,4,0,3.0
578216,만재도,전라남도 신안군 흑산면 만재도길 36-8,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,5,10,4.6
578024,반월도·박지도,전라남도 신안군 안좌면,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,4,0,0.0
2723809,배낭기미해수욕장,전라남도 신안군 흑산면 진리 586-18,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,1,0,5.0
2750722,복호선착장,전라남도 신안군 안좌면 중부로 5-4,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,1,0,0.0
126821,비금도,전라남도 신안군 비금면 죽림리,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,5,9,3.8
2742128,서근등대,전라남도 신안군 팔금면 원산리 산237,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,1,0,5.0
2713525,선도,전라남도 신안군 지도읍 선도길 74-2,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,1,6,4.0
2723780,설레미해수욕장,전라남도 신안군 증도면 우전리 산37-6,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,1,0,0.0
2750723,송공리선착장,전라남도 신안군 압해읍 압해로 1852-13,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,1,13,3.7
2750942,송도항(송도선착장),전라남도 신안군 지도읍 송도2길 68,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,1,0,0.0
577932,신도,전라남도 신안군 하의면 신도길 34,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,3,53,4.1
126724,신도해변,전라남도 신안군 하의면 신도길 163,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,4,1,0.0
129139,신안 가거도 등대,전라남도 신안군 흑산면 대풍리길 2-21,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,3,3,4.5
619763,신안 비금도 대동염전,전라남도 신안군 비금면 서남문로 200,전라남도,신안군,자연,자연관광지,강계곡,자연관광지|강계곡,자연|자연관광지|강계곡,3,1,1.0
127765,신의도,전라남도 신안군 신의면 신의로 661,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,5,1,1.4
127762,안좌도,전라남도 신안군 안좌면 중부로 872,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,5,10,2.7
126723,암태 추포해수욕장,전라남도 신안군 암태면 추엽길 58-59,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,5,2,2.2
2750937,암태남강선착장,전라남도 신안군 암태면 중부로 1502-80,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,1,5,5.0
127758,암태도,전라남도 신안군 암태면 장단고길 7-63,전라남도,신안군,자연,자연관광지,바다,자연관광지|바다,자연|자연관광지|바다,4,3,3.5
